id,nino,dob,enc_onlineidentity_id,postcode
1,DF876822U,1989-09-09,"{"salt":[220,198,82,123,126,255,131,218,120,77,88,89,124,200,4,224],"id":"w1M8GrNEGRbJJq8Jb9IQasy3","iv":[49,253,141,24,246,113,138,190,25,237,218,125]}",CF247DS
2,TG092312H,1989-02-03,"{"salt":[60,48,39,98,26,161,133,130,38,81,210,180,47,223,82,191],"id":"l85haxM+xBP/Qbb9zKLVksg=","iv":[245,143,138,90,198,106,3,157,18,107,174,92]}",CF247DS
3,AC444444Q,1936-07-01,"{"salt":[254,157,170,196,70,21,145,205,139,7,238,230,146,191,107,21],"id":"l+N4L87Bb0y0N1+etDU6mgU=","iv":[131,88,156,71,167,45,254,129,77,220,10,40]}","LD23 7GL"
4,FH292929H,1999-09-09,"{"salt":[36,139,54,226,250,112,242,214,164,146,42,145,150,49,167,129],"id":"vhFZLGZ0E2YUdkQzHiCWD/4=","iv":[128,122,123,225,150,7,24,251,105,202,5,141]}",CF239DS
5,OI123456T,1989-09-09,"{"salt":[111,109,12,255,100,26,98,170,193,7,17,188,27,67,241,107],"id":"X9MI5+wE732Pdppg80NSiI8=","iv":[91,234,102,75,120,195,249,105,119,2,116,207]}",CF247DS
6,CM123123A,1991-10-10,"{"salt":[113,52,30,61,185,151,200,137,45,234,86,1,82,197,254,131],"id":"C0jYD7Fg6FEcn8XyjRvWZ9I=","iv":[8,3,175,81,112,229,160,69,184,73,107,208]}","cf24 1ab"
7,SM401183D,1990-11-05,"{"salt":[143,72,235,77,202,49,204,140,22,10,202,2,193,161,85,126],"id":"FW776uOWdqgLDOnfl516Bldy","iv":[134,143,240,26,63,182,169,23,205,5,41,36]}",CF244SZ
9,SM401183F,1900-01-01,"{"salt":[106,77,45,150,136,76,105,117,17,72,77,22,1,136,187,107],"id":"9td/uX2A6TqJ+9+qCANQFJIV","iv":[8,253,182,217,180,54,32,203,82,41,130,89]}",cf244sz
10,SM401183V,1901-01-01,"{"salt":[14,193,50,250,3,73,248,202,51,73,137,105,215,131,212,143],"id":"TDRIsRgAPY4BiDyguwUDVZ3i","iv":[125,238,14,104,89,221,75,248,169,244,114,191]}",CF244SZ
17,SA401183B,2000-01-01,"{"salt":[150,97,206,56,148,22,149,15,16,61,14,51,18,7,163,24],"id":"xSpR7ZKndzrvP+kUDYQXMq7J","iv":[166,50,85,8,18,248,10,9,184,134,189,189]}",CF244SZ
18,DF876404P,1990-01-19,"{"salt":[127,161,89,134,113,180,79,217,57,198,153,109,201,68,115,118],"id":"X2RylA1pqMICZEWnqpZy+czk","iv":[100,224,171,35,152,13,211,80,11,187,101,210]}",BS345NU
19,DF876404B,1990-05-05,NULL,CF244SZ
